taxon_id,taxon,char_id,character,code
t18,Justice as fairness,6,need_sensitive,partial
t18,Justice as fairness,7,desert_sensitive,no
t18,Justice as fairness,8,equal_shares_default,yes
t18,Justice as fairness,9,remedial,nonremedial
t18,Justice as fairness,10,punishment,no
t18,Justice as fairness,11,repair,no
t18,Justice as fairness,12,voice,peripheral
t18,Justice as fairness,13,interpersonal_treatment,no
t18,Justice as fairness,14,transparency_info,no
t18,Justice as fairness,15,level,macro
t18,Justice as fairness,16,scope,domaingeneral
t19,Complex equality (spheres),1,focus,outcome
t19,Complex equality (spheres),2,comparative,comparative
t19,Complex equality (spheres),3,temporal,atemporal
t19,Complex equality (spheres),4,structure,patterned
t19,Complex equality (spheres),5,currency,resources
t19,Complex equality (spheres),6,need_sensitive,partial
t19,Complex equality (spheres),7,desert_sensitive,partial
t19,Complex equality (spheres),8,equal_shares_default,no
t19,Complex equality (spheres),9,remedial,nonremedial
t19,Complex equality (spheres),10,punishment,no
t19,Complex equality (spheres),11,repair,no
t19,Complex equality (spheres),12,voice,peripheral
t19,Complex equality (spheres),13,interpersonal_treatment,no
t19,Complex equality (spheres),14,transparency_info,no
t19,Complex equality (spheres),15,level,macro
t19,Complex equality (spheres),16,scope,spherespecific
t20,Recognition justice,1,focus,relationship
t20,Recognition justice,2,comparative,comparative
t20,Recognition justice,3,temporal,atemporal
t20,Recognition justice,4,structure,patterned
t20,Recognition justice,5,currency,na
t20,Recognition justice,6,need_sensitive,no
t20,Recognition justice,7,desert_sensitive,no
t20,Recognition justice,8,equal_shares_default,no
t20,Recognition justice,9,remedial,nonremedial
t20,Recognition justice,10,punishment,no
t20,Recognition justice,11,repair,no
t20,Recognition justice,12,voice,peripheral
t20,Recognition justice,13,interpersonal_treatment,yes
t20,Recognition justice,14,transparency_info,no
t20,Recognition justice,15,level,both
t20,Recognition justice,16,scope,domaingeneral
t21,Relational equality,1,focus,relationship
t21,Relational equality,2,comparative,comparative
t21,Relational equality,3,temporal,atemporal
t21,Relational equality,4,structure,endstate
t21,Relational equality,5,currency,na
t21,Relational equality,6,need_sensitive,no
t21,Relational equality,7,desert_sensitive,no
t21,Relational equality,8,equal_shares_default,no
t21,Relational equality,9,remedial,nonremedial
t21,Relational equality,10,punishment,no
t21,Relational equality,11,repair,no
t21,Relational equality,12,voice,peripheral
t21,Relational equality,13,interpersonal_treatment,yes
t21,Relational equality,14,transparency_info,no
t21,Relational equality,15,level,both
t21,Relational equality,16,scope,domaingeneral
t22,Entitlement (libertarian) justice,1,focus,outcome
t22,Entitlement (libertarian) justice,2,comparative,noncomparative
t22,Entitlement (libertarian) justice,3,temporal,backward
t22,Entitlement (libertarian) justice,4,structure,historical
t22,Entitlement (libertarian) justice,5,currency,resources
t22,Entitlement (libertarian) justice,6,need_sensitive,no
t22,Entitlement (libertarian) justice,7,desert_sensitive,no
t22,Entitlement (libertarian) justice,8,equal_shares_default,no
t22,Entitlement (libertarian) justice,9,remedial,nonremedial
t22,Entitlement (libertarian) justice,10,punishment,no
t22,Entitlement (libertarian) justice,11,repair,no
t22,Entitlement (libertarian) justice,12,voice,absent
t22,Entitlement (libertarian) justice,13,interpersonal_treatment,no
t22,Entitlement (libertarian) justice,14,transparency_info,no
t22,Entitlement (libertarian) justice,15,level,both
t22,Entitlement (libertarian) justice,16,scope,domaingeneral
t23,Utilitarian justice,1,focus,outcome
t23,Utilitarian justice,2,comparative,noncomparative
t23,Utilitarian justice,3,temporal,forward
t23,Utilitarian justice,4,structure,endstate
t23,Utilitarian justice,5,currency,welfare
t23,Utilitarian justice,6,need_sensitive,partial
t23,Utilitarian justice,7,desert_sensitive,no
t23,Utilitarian justice,8,equal_shares_default,no
t23,Utilitarian justice,9,remedial,nonremedial
t23,Utilitarian justice,10,punishment,no
t23,Utilitarian justice,11,repair,no
t23,Utilitarian justice,12,voice,absent
t23,Utilitarian justice,13,interpersonal_treatment,no
t23,Utilitarian justice,14,transparency_info,no
t23,Utilitarian justice,15,level,macro
t23,Utilitarian justice,16,scope,domaingeneral
t24,Formal justice (impartiality),1,focus,process
t24,Formal justice (impartiality),2,comparative,comparative
t24,Formal justice (impartiality),3,temporal,atemporal
t24,Formal justice (impartiality),4,structure,patterned
t24,Formal justice (impartiality),5,currency,na
t24,Formal justice (impartiality),6,need_sensitive,no
t24,Formal justice (impartiality),7,desert_sensitive,no
t24,Formal justice (impartiality),8,equal_shares_default,no
t24,Formal justice (impartiality),9,remedial,nonremedial
t24,Formal justice (impartiality),10,punishment,no
t24,Formal justice (impartiality),11,repair,no
t24,Formal justice (impartiality),12,voice,absent
t24,Formal justice (impartiality),13,interpersonal_treatment,no
t24,Formal justice (impartiality),14,transparency_info,no
t24,Formal justice (impartiality),15,level,both
t24,Formal justice (impartiality),16,scope,domaingeneral
